수강번호,학습자ID,이름,부서,직급,회사,강좌ID,강좌명,카테고리,강사명,난이도,등록일,시작일,완료일,학습시간(시간),진행률(%),시험점수,과제점수,참여도,합격여부
E00001,L0026,직원26,인사팀,과장,회사3,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-12-29,2025-12-29,,2,63,,,,
E00002,L0052,직원52,인사팀,사원,회사1,C029,직장 예절 강좌 29,리더십,박강사,초급,2025-10-19,,,10,0,,,,
E00003,L0200,직원200,인사팀,사원,회사3,C025,기술 강좌 25,기본소양,박강사,중급,2026-01-31,2026-01-31,2026-02-27,12,100,63.0,94.0,보통,합격
E00004,L0144,직원144,기획팀,부장,회사3,C048,기술 강좌 48,언어,정강사,고급,2026-01-29,2026-01-29,,10,88,,,,
E00005,L0029,직원29,영업팀,사원,회사3,C031,기술 강좌 31,직무 스킬,이강사,중급,2026-04-05,2026-04-05,2026-04-20,12,100,88.0,85.0,낮음,불합격
E00006,L0150,직원150,인사팀,부장,회사2,C001,언어 강좌 1,언어,한강사,고급,2026-02-18,2026-02-18,,4,41,,,,
E00007,L0148,직원148,재무팀,대리,회사3,C023,리더십 강좌 23,직장 예절,박강사,중급,2025-11-24,2025-11-24,2025-12-14,10,100,91.0,96.0,높음,합격
E00008,L0182,직원182,재무팀,대리,회사2,C043,직장 예절 강좌 43,기본소양,한강사,고급,2025-11-04,2025-11-04,2025-11-26,6,100,91.0,70.0,낮음,합격
E00009,L0162,직원162,개발팀,주임,회사3,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2026-03-04,2026-03-04,2026-04-17,4,100,88.0,75.0,보통,합격
E00010,L0091,직원91,재무팀,부장,회사3,C022,기술 강좌 22,직장 예절,이강사,초급,2025-07-24,2025-07-24,,2,65,,,,
E00011,L0062,직원62,개발팀,과장,회사3,C021,언어 강좌 21,리더십,최강사,중급,2025-07-07,2025-07-07,,12,81,,,,
E00012,L0024,직원24,인사팀,부장,회사1,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-11-21,2025-11-21,2025-12-22,8,100,66.0,94.0,보통,합격
E00013,L0091,직원91,재무팀,부장,회사3,C012,기본소양 강좌 12,리더십,김강사,중급,2026-05-03,,,12,0,,,,
E00014,L0059,직원59,인사팀,과장,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-08-23,2025-08-23,2025-09-06,2,100,64.0,74.0,보통,합격
E00015,L0160,직원160,인사팀,부장,회사2,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2026-01-20,2026-01-20,2026-03-10,10,100,60.0,83.0,높음,합격
E00016,L0001,직원1,마케팅팀,부장,회사3,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-10-16,2025-10-16,2025-11-14,8,100,82.0,87.0,보통,합격
E00017,L0071,직원71,개발팀,과장,회사2,C007,직장 예절 강좌 7,직장 예절,박강사,고급,2025-11-06,2025-11-06,2025-12-09,2,100,85.0,92.0,낮음,합격
E00018,L0120,직원120,기획팀,과장,회사2,C033,리더십 강좌 33,리더십,정강사,중급,2026-03-28,2026-03-28,2026-05-03,4,100,94.0,95.0,높음,불합격
E00019,L0126,직원126,마케팅팀,주임,회사3,C022,기술 강좌 22,직장 예절,이강사,초급,2025-12-22,2025-12-22,,2,66,,,,
E00020,L0128,직원128,마케팅팀,사원,회사3,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-02-08,2026-02-08,2026-03-26,2,100,87.0,97.0,낮음,합격
E00021,L0004,직원4,마케팅팀,대리,회사1,C032,직장 예절 강좌 32,기술,정강사,고급,2026-06-07,2026-06-07,,6,18,,,,
E00022,L0047,직원47,재무팀,사원,회사2,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-12-28,2025-12-28,2026-02-05,10,100,68.0,73.0,높음,합격
E00023,L0011,직원11,마케팅팀,사원,회사1,C025,기술 강좌 25,기본소양,박강사,중급,2025-12-27,2025-12-27,2026-02-05,12,100,82.0,76.0,보통,합격
E00024,L0004,직원4,마케팅팀,대리,회사1,C029,직장 예절 강좌 29,리더십,박강사,초급,2026-02-02,2026-02-02,,10,70,,,,
E00025,L0021,직원21,기획팀,과장,회사1,C044,기술 강좌 44,언어,김강사,중급,2025-07-04,,,8,0,,,,
E00026,L0008,직원8,인사팀,대리,회사3,C003,직장 예절 강좌 3,직장 예절,이강사,초급,2025-07-19,2025-07-19,,8,43,,,,
E00027,L0094,직원94,영업팀,주임,회사3,C011,언어 강좌 11,기본소양,김강사,초급,2025-06-18,2025-06-18,,10,81,,,,
E00028,L0141,직원141,인사팀,부장,회사1,C022,기술 강좌 22,직장 예절,이강사,초급,2025-06-23,2025-06-23,2025-07-20,2,100,66.0,79.0,높음,합격
E00029,L0160,직원160,인사팀,부장,회사2,C027,기술 강좌 27,기술,박강사,고급,2025-12-25,2025-12-25,,8,85,,,,
E00030,L0084,직원84,인사팀,부장,회사3,C010,언어 강좌 10,언어,이강사,중급,2025-12-02,2025-12-02,,8,62,,,,
E00031,L0035,직원35,영업팀,주임,회사3,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-08-24,2025-08-24,,8,96,,,,
E00032,L0176,직원176,기획팀,과장,회사1,C006,리더십 강좌 6,기본소양,정강사,초급,2026-03-26,2026-03-26,,4,53,,,,
E00033,L0142,직원142,재무팀,사원,회사1,C004,기술 강좌 4,기본소양,이강사,초급,2025-10-23,2025-10-23,2025-10-29,6,100,63.0,79.0,높음,합격
E00034,L0133,직원133,인사팀,주임,회사1,C028,직무 스킬 강좌 28,기본소양,한강사,중급,2026-01-06,2026-01-06,,6,83,,,,
E00035,L0161,직원161,마케팅팀,대리,회사2,C049,리더십 강좌 49,직장 예절,박강사,중급,2026-05-28,,,6,0,,,,
E00036,L0050,직원50,영업팀,과장,회사2,C021,언어 강좌 21,리더십,최강사,중급,2026-05-18,2026-05-18,,12,80,,,,
E00037,L0172,직원172,마케팅팀,대리,회사1,C008,직장 예절 강좌 8,기본소양,최강사,초급,2026-04-04,2026-04-04,,8,60,,,,
E00038,L0058,직원58,기획팀,대리,회사1,C011,언어 강좌 11,기본소양,김강사,초급,2026-02-20,,,10,0,,,,
E00039,L0044,직원44,인사팀,사원,회사2,C014,직장 예절 강좌 14,언어,김강사,초급,2026-01-11,,,4,0,,,,
E00040,L0010,직원10,기획팀,대리,회사3,C018,기본소양 강좌 18,직장 예절,박강사,고급,2026-02-09,2026-02-09,,2,58,,,,
E00041,L0037,직원37,재무팀,부장,회사3,C014,직장 예절 강좌 14,언어,김강사,초급,2026-03-08,2026-03-08,2026-04-25,4,100,64.0,76.0,높음,합격
